

This is RAxML version 8.2.12 released by Alexandros Stamatakis on May 2018.

With greatly appreciated code contributions by:
Andre Aberer      (HITS)
Simon Berger      (HITS)
Alexey Kozlov     (HITS)
Kassian Kobert    (HITS)
David Dao         (KIT and HITS)
Sarah Lutteropp   (KIT and HITS)
Nick Pattengale   (Sandia)
Wayne Pfeiffer    (SDSC)
Akifumi S. Tanabe (NRIFS)
Charlie Taylor    (UF)


Alignment has 412 distinct alignment patterns

Proportion of gaps and completely undetermined characters in this alignment: 4.95%

RAxML rapid bootstrapping and subsequent ML search

Using 3 distinct models/data partitions with joint branch length optimization



Executing 1000 rapid bootstrap inferences and thereafter a thorough ML search 

All free model parameters will be estimated by RAxML
GAMMA model of rate heterogeneity, ML estimate of alpha-parameter

GAMMA Model parameters will be estimated up to an accuracy of 0.1000000000 Log Likelihood units

Partition: 0
Alignment Patterns: 114
Name: codon1
DataType: DNA
Substitution Matrix: GTR



Partition: 1
Alignment Patterns: 97
Name: codon2
DataType: DNA
Substitution Matrix: GTR



Partition: 2
Alignment Patterns: 201
Name: codon3
DataType: DNA
Substitution Matrix: GTR




RAxML was called as follows:

raxmlHPC-PTHREADS -s ./RBD_nt-codon_aligned_rmRaTG13.fasta -n RBD_codon_tree_rmRaTG13.txt -m GTRGAMMA -f a -p 10 -N autoMRE -x 10 -T 8 -q ../codon_partitions.txt 



Time for BS model parameter optimization 0.220321
Bootstrap[0]: Time 0.767511 seconds, bootstrap likelihood -8205.242035, best rearrangement setting 5
Bootstrap[1]: Time 0.456580 seconds, bootstrap likelihood -7558.327023, best rearrangement setting 14
Bootstrap[2]: Time 0.491063 seconds, bootstrap likelihood -7768.328763, best rearrangement setting 14
Bootstrap[3]: Time 0.489325 seconds, bootstrap likelihood -8043.760235, best rearrangement setting 9
Bootstrap[4]: Time 0.531551 seconds, bootstrap likelihood -7788.609604, best rearrangement setting 12
Bootstrap[5]: Time 0.492232 seconds, bootstrap likelihood -7963.884145, best rearrangement setting 10
Bootstrap[6]: Time 0.555217 seconds, bootstrap likelihood -8255.333854, best rearrangement setting 8
Bootstrap[7]: Time 0.476707 seconds, bootstrap likelihood -7950.846487, best rearrangement setting 6
Bootstrap[8]: Time 0.468612 seconds, bootstrap likelihood -7724.830559, best rearrangement setting 5
Bootstrap[9]: Time 0.543064 seconds, bootstrap likelihood -7434.985994, best rearrangement setting 11
Bootstrap[10]: Time 0.499883 seconds, bootstrap likelihood -7709.617581, best rearrangement setting 10
Bootstrap[11]: Time 0.453840 seconds, bootstrap likelihood -8115.413584, best rearrangement setting 14
Bootstrap[12]: Time 0.498470 seconds, bootstrap likelihood -7915.335865, best rearrangement setting 13
Bootstrap[13]: Time 0.522046 seconds, bootstrap likelihood -7781.784366, best rearrangement setting 10
Bootstrap[14]: Time 0.542619 seconds, bootstrap likelihood -7873.967238, best rearrangement setting 8
Bootstrap[15]: Time 0.500521 seconds, bootstrap likelihood -7952.905430, best rearrangement setting 12
Bootstrap[16]: Time 0.513608 seconds, bootstrap likelihood -7838.708515, best rearrangement setting 10
Bootstrap[17]: Time 0.509289 seconds, bootstrap likelihood -7726.757947, best rearrangement setting 6
Bootstrap[18]: Time 0.474374 seconds, bootstrap likelihood -7870.976444, best rearrangement setting 15
Bootstrap[19]: Time 0.532702 seconds, bootstrap likelihood -7973.084826, best rearrangement setting 14
Bootstrap[20]: Time 0.536950 seconds, bootstrap likelihood -7904.632138, best rearrangement setting 15
Bootstrap[21]: Time 0.542887 seconds, bootstrap likelihood -8026.333370, best rearrangement setting 11
Bootstrap[22]: Time 0.534392 seconds, bootstrap likelihood -7766.574995, best rearrangement setting 12
Bootstrap[23]: Time 0.529593 seconds, bootstrap likelihood -7921.835263, best rearrangement setting 12
Bootstrap[24]: Time 0.503259 seconds, bootstrap likelihood -8107.896943, best rearrangement setting 6
Bootstrap[25]: Time 0.536617 seconds, bootstrap likelihood -7829.937507, best rearrangement setting 9
Bootstrap[26]: Time 0.570594 seconds, bootstrap likelihood -7609.480925, best rearrangement setting 15
Bootstrap[27]: Time 0.577593 seconds, bootstrap likelihood -8636.720384, best rearrangement setting 12
Bootstrap[28]: Time 0.523493 seconds, bootstrap likelihood -7888.095575, best rearrangement setting 6
Bootstrap[29]: Time 0.527651 seconds, bootstrap likelihood -8055.225359, best rearrangement setting 6
Bootstrap[30]: Time 0.615001 seconds, bootstrap likelihood -8073.184663, best rearrangement setting 14
Bootstrap[31]: Time 0.576759 seconds, bootstrap likelihood -7582.114364, best rearrangement setting 11
Bootstrap[32]: Time 0.582137 seconds, bootstrap likelihood -7711.702106, best rearrangement setting 11
Bootstrap[33]: Time 0.574491 seconds, bootstrap likelihood -7754.699321, best rearrangement setting 5
Bootstrap[34]: Time 0.501172 seconds, bootstrap likelihood -7981.301222, best rearrangement setting 15
Bootstrap[35]: Time 0.474149 seconds, bootstrap likelihood -7777.945124, best rearrangement setting 7
Bootstrap[36]: Time 0.547177 seconds, bootstrap likelihood -7898.315613, best rearrangement setting 11
Bootstrap[37]: Time 0.527711 seconds, bootstrap likelihood -7765.626602, best rearrangement setting 7
Bootstrap[38]: Time 0.488775 seconds, bootstrap likelihood -7952.001957, best rearrangement setting 15
Bootstrap[39]: Time 0.593474 seconds, bootstrap likelihood -7911.474334, best rearrangement setting 10
Bootstrap[40]: Time 0.522890 seconds, bootstrap likelihood -7983.983420, best rearrangement setting 8
Bootstrap[41]: Time 0.456079 seconds, bootstrap likelihood -7513.811863, best rearrangement setting 14
Bootstrap[42]: Time 0.575199 seconds, bootstrap likelihood -7964.314052, best rearrangement setting 11
Bootstrap[43]: Time 0.487153 seconds, bootstrap likelihood -8011.012234, best rearrangement setting 11
Bootstrap[44]: Time 0.460532 seconds, bootstrap likelihood -8024.815239, best rearrangement setting 5
Bootstrap[45]: Time 0.552191 seconds, bootstrap likelihood -7817.748514, best rearrangement setting 15
Bootstrap[46]: Time 0.534723 seconds, bootstrap likelihood -7935.609285, best rearrangement setting 15
Bootstrap[47]: Time 0.564865 seconds, bootstrap likelihood -8193.150384, best rearrangement setting 9
Bootstrap[48]: Time 0.495096 seconds, bootstrap likelihood -8087.794117, best rearrangement setting 15
Bootstrap[49]: Time 0.530886 seconds, bootstrap likelihood -8017.083686, best rearrangement setting 10
Bootstrap[50]: Time 0.541779 seconds, bootstrap likelihood -7786.243431, best rearrangement setting 15
Bootstrap[51]: Time 0.587543 seconds, bootstrap likelihood -7775.155805, best rearrangement setting 11
Bootstrap[52]: Time 0.565654 seconds, bootstrap likelihood -7551.406686, best rearrangement setting 10
Bootstrap[53]: Time 0.545755 seconds, bootstrap likelihood -8052.733270, best rearrangement setting 13
Bootstrap[54]: Time 0.530292 seconds, bootstrap likelihood -7863.454848, best rearrangement setting 15
Bootstrap[55]: Time 0.602868 seconds, bootstrap likelihood -7895.049303, best rearrangement setting 6
Bootstrap[56]: Time 0.525980 seconds, bootstrap likelihood -7751.980191, best rearrangement setting 12
Bootstrap[57]: Time 0.454666 seconds, bootstrap likelihood -7562.423910, best rearrangement setting 12
Bootstrap[58]: Time 0.515881 seconds, bootstrap likelihood -7478.958217, best rearrangement setting 5
Bootstrap[59]: Time 0.512115 seconds, bootstrap likelihood -7450.813904, best rearrangement setting 9
Bootstrap[60]: Time 0.506953 seconds, bootstrap likelihood -7920.518351, best rearrangement setting 10
Bootstrap[61]: Time 0.530014 seconds, bootstrap likelihood -8071.346520, best rearrangement setting 11
Bootstrap[62]: Time 0.616058 seconds, bootstrap likelihood -8305.665587, best rearrangement setting 15
Bootstrap[63]: Time 0.562834 seconds, bootstrap likelihood -7735.091531, best rearrangement setting 11
Bootstrap[64]: Time 0.480036 seconds, bootstrap likelihood -7969.070519, best rearrangement setting 7
Bootstrap[65]: Time 0.560062 seconds, bootstrap likelihood -8205.515234, best rearrangement setting 11
Bootstrap[66]: Time 0.581889 seconds, bootstrap likelihood -7826.396897, best rearrangement setting 7
Bootstrap[67]: Time 0.475899 seconds, bootstrap likelihood -7884.869071, best rearrangement setting 8
Bootstrap[68]: Time 0.500468 seconds, bootstrap likelihood -7582.081021, best rearrangement setting 13
Bootstrap[69]: Time 0.596134 seconds, bootstrap likelihood -7310.144699, best rearrangement setting 12
Bootstrap[70]: Time 0.468208 seconds, bootstrap likelihood -7706.994621, best rearrangement setting 13
Bootstrap[71]: Time 0.506670 seconds, bootstrap likelihood -8019.219529, best rearrangement setting 6
Bootstrap[72]: Time 0.513392 seconds, bootstrap likelihood -7942.711559, best rearrangement setting 10
Bootstrap[73]: Time 0.604241 seconds, bootstrap likelihood -7745.510692, best rearrangement setting 12
Bootstrap[74]: Time 0.504137 seconds, bootstrap likelihood -8116.374785, best rearrangement setting 12
Bootstrap[75]: Time 0.548537 seconds, bootstrap likelihood -8203.609422, best rearrangement setting 12
Bootstrap[76]: Time 0.521757 seconds, bootstrap likelihood -7498.707311, best rearrangement setting 12
Bootstrap[77]: Time 0.472047 seconds, bootstrap likelihood -7904.784572, best rearrangement setting 11
Bootstrap[78]: Time 0.449524 seconds, bootstrap likelihood -8129.801611, best rearrangement setting 5
Bootstrap[79]: Time 0.462008 seconds, bootstrap likelihood -8169.994638, best rearrangement setting 8
Bootstrap[80]: Time 0.553665 seconds, bootstrap likelihood -7742.413240, best rearrangement setting 11
Bootstrap[81]: Time 0.519294 seconds, bootstrap likelihood -8062.947951, best rearrangement setting 13
Bootstrap[82]: Time 0.538256 seconds, bootstrap likelihood -7815.319823, best rearrangement setting 7
Bootstrap[83]: Time 0.565764 seconds, bootstrap likelihood -7713.670304, best rearrangement setting 8
Bootstrap[84]: Time 0.629056 seconds, bootstrap likelihood -7687.534507, best rearrangement setting 14
Bootstrap[85]: Time 0.550728 seconds, bootstrap likelihood -7701.424093, best rearrangement setting 9
Bootstrap[86]: Time 0.547072 seconds, bootstrap likelihood -7914.375090, best rearrangement setting 11
Bootstrap[87]: Time 0.560319 seconds, bootstrap likelihood -7818.671294, best rearrangement setting 9
Bootstrap[88]: Time 0.540972 seconds, bootstrap likelihood -7647.679924, best rearrangement setting 5
Bootstrap[89]: Time 0.599493 seconds, bootstrap likelihood -7885.498775, best rearrangement setting 13
Bootstrap[90]: Time 0.616004 seconds, bootstrap likelihood -8171.531397, best rearrangement setting 13
Bootstrap[91]: Time 0.558211 seconds, bootstrap likelihood -7874.282101, best rearrangement setting 9
Bootstrap[92]: Time 0.517806 seconds, bootstrap likelihood -7912.055165, best rearrangement setting 13
Bootstrap[93]: Time 0.509529 seconds, bootstrap likelihood -7622.967638, best rearrangement setting 15
Bootstrap[94]: Time 0.498582 seconds, bootstrap likelihood -7861.817797, best rearrangement setting 10
Bootstrap[95]: Time 0.526315 seconds, bootstrap likelihood -8058.898683, best rearrangement setting 10
Bootstrap[96]: Time 0.579034 seconds, bootstrap likelihood -7935.068440, best rearrangement setting 8
Bootstrap[97]: Time 0.558166 seconds, bootstrap likelihood -7672.760571, best rearrangement setting 14
Bootstrap[98]: Time 0.539470 seconds, bootstrap likelihood -8113.391636, best rearrangement setting 10
Bootstrap[99]: Time 0.494656 seconds, bootstrap likelihood -8088.938854, best rearrangement setting 13
Bootstrap[100]: Time 0.536246 seconds, bootstrap likelihood -7666.415957, best rearrangement setting 13
Bootstrap[101]: Time 0.564570 seconds, bootstrap likelihood -7685.391586, best rearrangement setting 6
Bootstrap[102]: Time 0.520792 seconds, bootstrap likelihood -7738.171025, best rearrangement setting 6
Bootstrap[103]: Time 0.568939 seconds, bootstrap likelihood -8175.608553, best rearrangement setting 8
Bootstrap[104]: Time 0.504835 seconds, bootstrap likelihood -7828.112508, best rearrangement setting 12
Bootstrap[105]: Time 0.548918 seconds, bootstrap likelihood -7778.904827, best rearrangement setting 6
Bootstrap[106]: Time 0.494397 seconds, bootstrap likelihood -7611.301838, best rearrangement setting 7
Bootstrap[107]: Time 0.567770 seconds, bootstrap likelihood -7877.886639, best rearrangement setting 9
Bootstrap[108]: Time 0.474632 seconds, bootstrap likelihood -8080.504872, best rearrangement setting 7
Bootstrap[109]: Time 0.715468 seconds, bootstrap likelihood -7914.332165, best rearrangement setting 14
Bootstrap[110]: Time 0.597694 seconds, bootstrap likelihood -7742.339929, best rearrangement setting 9
Bootstrap[111]: Time 0.593403 seconds, bootstrap likelihood -7492.976875, best rearrangement setting 5
Bootstrap[112]: Time 0.540167 seconds, bootstrap likelihood -8039.437082, best rearrangement setting 15
Bootstrap[113]: Time 0.567953 seconds, bootstrap likelihood -7728.802935, best rearrangement setting 6
Bootstrap[114]: Time 0.417794 seconds, bootstrap likelihood -7669.957285, best rearrangement setting 8
Bootstrap[115]: Time 0.611907 seconds, bootstrap likelihood -7995.392058, best rearrangement setting 9
Bootstrap[116]: Time 0.612124 seconds, bootstrap likelihood -7612.834846, best rearrangement setting 13
Bootstrap[117]: Time 0.570042 seconds, bootstrap likelihood -8113.316243, best rearrangement setting 10
Bootstrap[118]: Time 0.558384 seconds, bootstrap likelihood -7463.558052, best rearrangement setting 13
Bootstrap[119]: Time 0.574965 seconds, bootstrap likelihood -8138.455896, best rearrangement setting 15
Bootstrap[120]: Time 0.565861 seconds, bootstrap likelihood -7872.625443, best rearrangement setting 10
Bootstrap[121]: Time 0.601533 seconds, bootstrap likelihood -7555.031549, best rearrangement setting 14
Bootstrap[122]: Time 0.509825 seconds, bootstrap likelihood -8112.688213, best rearrangement setting 6
Bootstrap[123]: Time 0.569098 seconds, bootstrap likelihood -7938.776711, best rearrangement setting 7
Bootstrap[124]: Time 0.567325 seconds, bootstrap likelihood -7748.462516, best rearrangement setting 11
Bootstrap[125]: Time 0.524565 seconds, bootstrap likelihood -7739.417898, best rearrangement setting 12
Bootstrap[126]: Time 0.559517 seconds, bootstrap likelihood -7732.680193, best rearrangement setting 14
Bootstrap[127]: Time 0.478793 seconds, bootstrap likelihood -7958.741105, best rearrangement setting 9
