genotype,protein,geomean_FITC,geomean_PE,conc_M
Rc-o319,huACE2,9404.7666,49.50653,0
Rc-o319,huACE2,9446.67285,48.64746,4.96E-14
Rc-o319,huACE2,9610.99023,51.60827,2.98E-13
Rc-o319,huACE2,9467.16504,53.15758,1.79E-12
Rc-o319,huACE2,9496.43164,49.40247,1.07E-11
Rc-o319,huACE2,9435.19922,48.18184,6.43E-11
Rc-o319,huACE2,9420.96875,50.31905,3.86E-10
Rc-o319,huACE2,9661.50684,56.28,2.31E-09
Rc-o319,huACE2,9376.4707,51.73258,1.39E-08
Rc-o319,huACE2,9548.1709,59.14998,8.33E-08
Rc-o319,huACE2,9182.43457,70.87886,5.00E-07
Rc-o319,huACE2,9165.54199,47.90229,NA
Rc-o319,pgACE2,9502.98535,20.05252,0
Rc-o319,pgACE2,9528.88086,20.7321,4.96E-14
Rc-o319,pgACE2,9293.42871,19.18657,2.98E-13
Rc-o319,pgACE2,9609.8916,20.824,1.79E-12
Rc-o319,pgACE2,9617.18066,21.7163,1.07E-11
Rc-o319,pgACE2,9578.0957,22.88966,6.43E-11
Rc-o319,pgACE2,9666.59961,25.71568,3.86E-10
Rc-o319,pgACE2,9694.46484,30.22127,2.31E-09
Rc-o319,pgACE2,9575.41211,34.77177,1.39E-08
Rc-o319,pgACE2,9367.64551,53.1346,8.33E-08
Rc-o319,pgACE2,9276.96094,72.70229,5.00E-07
Rc-o319,pgACE2,9724.57812,20.49651,NA
Rc-o319,RaACE2.787,9859.41699,21.12148,0
Rc-o319,RaACE2.787,9644.64941,19.94942,4.96E-14
Rc-o319,RaACE2.787,9798.07422,21.50648,2.98E-13
Rc-o319,RaACE2.787,9901.5,22.19626,1.79E-12
Rc-o319,RaACE2.787,9852.625,20.21901,1.07E-11
Rc-o319,RaACE2.787,9586.54199,21.65432,6.43E-11
Rc-o319,RaACE2.787,9486.11719,22.57916,3.86E-10
Rc-o319,RaACE2.787,9883.87402,24.12212,2.31E-09
Rc-o319,RaACE2.787,9867.61914,38.53962,1.39E-08
Rc-o319,RaACE2.787,9809.32617,70.144,8.33E-08
Rc-o319,RaACE2.787,9805.29883,121.75405,5.00E-07
Rc-o319,RaACE2.787,9908.00781,22.70123,NA
Rc-o319,RaACE2.9479,9650.08008,21.05105,0
Rc-o319,RaACE2.9479,9733.27637,22.70068,4.96E-14
Rc-o319,RaACE2.9479,9907.75098,21.29988,2.98E-13
Rc-o319,RaACE2.9479,9533.20215,21.31343,1.79E-12
Rc-o319,RaACE2.9479,9697.91016,21.01462,1.07E-11
Rc-o319,RaACE2.9479,9706.05469,20.82502,6.43E-11
Rc-o319,RaACE2.9479,9895.50879,24.63416,3.86E-10
Rc-o319,RaACE2.9479,9869.625,28.92523,2.31E-09
Rc-o319,RaACE2.9479,9804.46191,44.36964,1.39E-08
Rc-o319,RaACE2.9479,9801.83789,56.81093,8.33E-08
Rc-o319,RaACE2.9479,9711.05078,76.22079,5.00E-07
Rc-o319,RaACE2.9479,9398.95703,20.23561,NA
Rc-o319,RsACE2.3364,9254.01074,18.9379,0
Rc-o319,RsACE2.3364,9451.33691,20.07265,4.96E-14
Rc-o319,RsACE2.3364,9799.72168,22.43343,2.98E-13
Rc-o319,RsACE2.3364,9996.61816,22.70483,1.79E-12
Rc-o319,RsACE2.3364,10014.63672,20.37805,1.07E-11
Rc-o319,RsACE2.3364,10067.54004,22.9416,6.43E-11
Rc-o319,RsACE2.3364,9691.75488,22.41909,3.86E-10
Rc-o319,RsACE2.3364,9571.39648,27.58825,2.31E-09
Rc-o319,RsACE2.3364,9706.54004,48.58481,1.39E-08
Rc-o319,RsACE2.3364,10095.85156,74.63722,8.33E-08
Rc-o319,RsACE2.3364,9562.54492,159.07083,5.00E-07
Rc-o319,RsACE2.3364,9867.12402,22.25996,NA
Rc-o319,RsACE2.1434,9249.69824,21.48172,0
Rc-o319,RsACE2.1434,9316.47559,20.30996,4.96E-14
Rc-o319,RsACE2.1434,9349.81543,20.27024,2.98E-13
Rc-o319,RsACE2.1434,9490.43262,21.88161,1.79E-12
Rc-o319,RsACE2.1434,9479.53711,20.14191,1.07E-11
Rc-o319,RsACE2.1434,9326.78906,21.24974,6.43E-11
Rc-o319,RsACE2.1434,9337.98145,23.34918,3.86E-10
Rc-o319,RsACE2.1434,9294.3916,30.09095,2.31E-09
Rc-o319,RsACE2.1434,9486.4707,45.24289,1.39E-08
Rc-o319,RsACE2.1434,9378.90332,40.44961,8.33E-08
Rc-o319,RsACE2.1434,9982.08301,74.3366,5.00E-07
Rc-o319,RsACE2.1434,9528.57227,21.51651,NA
SARS-CoV-2,huACE2,6137.9751,39.44044,0
SARS-CoV-2,huACE2,6029.68018,106.05655,4.96E-14
SARS-CoV-2,huACE2,5854.38232,135.99567,2.98E-13
SARS-CoV-2,huACE2,5866.98682,182.08057,1.79E-12
SARS-CoV-2,huACE2,5782.75439,274.36578,1.07E-11
SARS-CoV-2,huACE2,5738.01855,502.24521,6.43E-11
SARS-CoV-2,huACE2,5810.8877,1633.60925,3.86E-10
SARS-CoV-2,huACE2,5137.92236,7919.60986,2.31E-09
SARS-CoV-2,huACE2,5160.9375,20657.98047,1.39E-08
SARS-CoV-2,huACE2,5446.65479,24329.62695,8.33E-08
SARS-CoV-2,huACE2,5302.61426,25913.66211,5.00E-07
SARS-CoV-2,huACE2,5699.27148,48.21885,NA
RshSTT182,huACE2,8843.60645,49.68518,0
RshSTT182,huACE2,8946.69336,47.67442,4.96E-14
RshSTT182,huACE2,9007.19824,47.45439,2.98E-13
RshSTT182,huACE2,8963.38184,48.44923,1.79E-12
RshSTT182,huACE2,8797.96094,47.34571,1.07E-11
RshSTT182,huACE2,8858.01855,45.24289,6.43E-11
RshSTT182,huACE2,8717.46875,51.05529,3.86E-10
RshSTT182,huACE2,7756.0459,135.892,2.31E-09
RshSTT182,huACE2,8786.88086,2471.4895,1.39E-08
RshSTT182,huACE2,8494.18164,5904.25977,8.33E-08
RshSTT182,huACE2,8529.10938,8387.64941,5.00E-07
RshSTT182,huACE2,8588.55176,50.43433,NA
RshSTT182,pgACE2,9130.85254,20.64489,0
RshSTT182,pgACE2,8670.24316,19.1322,4.96E-14
RshSTT182,pgACE2,8912.16309,20.2617,2.98E-13
RshSTT182,pgACE2,9020.24902,21.37008,1.79E-12
RshSTT182,pgACE2,8960.20703,21.0411,1.07E-11
RshSTT182,pgACE2,8917.7373,22.75615,6.43E-11
RshSTT182,pgACE2,8998.85449,25.2356,3.86E-10
RshSTT182,pgACE2,9059.61914,32.93175,2.31E-09
RshSTT182,pgACE2,8877.97852,41.12557,1.39E-08
RshSTT182,pgACE2,8717.40625,50.81014,8.33E-08
RshSTT182,pgACE2,8606.85352,126.21258,5.00E-07
RshSTT182,pgACE2,9044.51855,21.2817,NA
RshSTT182,RaACE2.787,8638.84473,19.23295,0
RshSTT182,RaACE2.787,8521.50391,111.62239,4.96E-14
RshSTT182,RaACE2.787,8702.82227,139.38031,2.98E-13
RshSTT182,RaACE2.787,8906.38574,201.61427,1.79E-12
RshSTT182,RaACE2.787,8909.48828,429.3674,1.07E-11
RshSTT182,RaACE2.787,8945.50098,1273.01904,6.43E-11
RshSTT182,RaACE2.787,8829.43848,4676.9502,3.86E-10
RshSTT182,RaACE2.787,8729.33008,17173.98047,2.31E-09
RshSTT182,RaACE2.787,7788.48047,41910.05859,1.39E-08
RshSTT182,RaACE2.787,6757.46436,64185.10938,8.33E-08
RshSTT182,RaACE2.787,6557.9541,54095.48438,5.00E-07
RshSTT182,RaACE2.787,8969.11816,23.05239,NA
RshSTT182,RaACE2.9479,8441.49707,20.41558,0
RshSTT182,RaACE2.9479,8898.82324,23.29747,4.96E-14
RshSTT182,RaACE2.9479,8607.55664,26.23518,2.98E-13
RshSTT182,RaACE2.9479,9096.31445,27.71652,1.79E-12
RshSTT182,RaACE2.9479,8802.38086,30.35135,1.07E-11
RshSTT182,RaACE2.9479,9027.4541,52.87977,6.43E-11
RshSTT182,RaACE2.9479,8943.27246,177.30392,3.86E-10
RshSTT182,RaACE2.9479,8751.10742,767.42621,2.31E-09
RshSTT182,RaACE2.9479,8425.34277,3087.69385,1.39E-08
RshSTT182,RaACE2.9479,7968.68359,11603.65723,8.33E-08
RshSTT182,RaACE2.9479,6418.65869,18063.21094,5.00E-07
RshSTT182,RaACE2.9479,8938.87402,23.48896,NA
RshSTT182,RsACE2.3364,8513.13672,21.5636,0
RshSTT182,RsACE2.3364,8624.75684,20.12961,4.96E-14
RshSTT182,RsACE2.3364,8755.2002,22.63996,2.98E-13
RshSTT182,RsACE2.3364,8684.37891,20.97043,1.79E-12
RshSTT182,RsACE2.3364,9051.34473,22.45372,1.07E-11
RshSTT182,RsACE2.3364,8723.08789,21.85059,6.43E-11
RshSTT182,RsACE2.3364,8689.07129,22.76524,3.86E-10
RshSTT182,RsACE2.3364,8867.90625,26.14013,2.31E-09
RshSTT182,RsACE2.3364,8686.54297,39.29715,1.39E-08
RshSTT182,RsACE2.3364,8864.43652,41.56277,8.33E-08
RshSTT182,RsACE2.3364,8542.98145,43.80891,5.00E-07
RshSTT182,RsACE2.3364,9006.80957,23.89663,NA
RshSTT182,RsACE2.1434,8433.62891,19.90069,0
RshSTT182,RsACE2.1434,8679.73828,22.5421,4.96E-14
RshSTT182,RsACE2.1434,8650.72363,20.99362,2.98E-13
RshSTT182,RsACE2.1434,8472.23047,20.80817,1.79E-12
RshSTT182,RsACE2.1434,8433.68359,20.93666,1.07E-11
RshSTT182,RsACE2.1434,8635.63379,21.29659,6.43E-11
RshSTT182,RsACE2.1434,8282.41016,23.5706,3.86E-10
RshSTT182,RsACE2.1434,8573.41797,31.423,2.31E-09
RshSTT182,RsACE2.1434,8825.0459,45.51229,1.39E-08
RshSTT182,RsACE2.1434,8978.67871,38.16009,8.33E-08
RshSTT182,RsACE2.1434,8594.05273,53.56983,5.00E-07
RshSTT182,RsACE2.1434,8740.30371,22.89224,NA
RsYN04,huACE2,7749.51709,43.42036,0
RsYN04,huACE2,7887.12256,43.66504,4.96E-14
RsYN04,huACE2,7746.21094,43.54102,2.98E-13
RsYN04,huACE2,7551.89795,41.57586,1.79E-12
RsYN04,huACE2,7522.26221,41.96399,1.07E-11
RsYN04,huACE2,7853.23389,42.94104,6.43E-11
RsYN04,huACE2,7788.52246,43.33138,3.86E-10
RsYN04,huACE2,7944.88672,45.00642,2.31E-09
RsYN04,huACE2,8095.49414,46.46219,1.39E-08
RsYN04,huACE2,8018.3999,47.01098,8.33E-08
RsYN04,huACE2,7795.86963,49.7712,5.00E-07
RsYN04,huACE2,7667.61377,42.06292,NA
RsYN04,pgACE2,7947.82666,19.24078,0
RsYN04,pgACE2,7938.88672,17.04161,4.96E-14
RsYN04,pgACE2,7715.40283,18.08231,2.98E-13
RsYN04,pgACE2,7644.66699,18.34993,1.79E-12
RsYN04,pgACE2,7857.07227,18.74714,1.07E-11
RsYN04,pgACE2,7791.41162,17.53603,6.43E-11
RsYN04,pgACE2,7777.24756,20.89192,3.86E-10
RsYN04,pgACE2,7764.84277,24.6789,2.31E-09
RsYN04,pgACE2,7469.18896,31.28429,1.39E-08
RsYN04,pgACE2,7474.40674,32.80197,8.33E-08
RsYN04,pgACE2,7633.90625,61.026,5.00E-07
RsYN04,pgACE2,7899.33008,20.32939,NA
RsYN04,RaACE2.787,7754.49316,17.68072,0
RsYN04,RaACE2.787,7843.81689,17.89358,4.96E-14
RsYN04,RaACE2.787,7871.62256,17.06989,2.98E-13
RsYN04,RaACE2.787,7731.43115,17.53391,1.79E-12
RsYN04,RaACE2.787,7686.30713,19.3355,1.07E-11
RsYN04,RaACE2.787,7642.69189,19.75888,6.43E-11
RsYN04,RaACE2.787,7696.60303,22.69159,3.86E-10
RsYN04,RaACE2.787,7616.9248,46.91909,2.31E-09
RsYN04,RaACE2.787,7446.36475,180.83745,1.39E-08
RsYN04,RaACE2.787,7326.9834,705.39728,8.33E-08
RsYN04,RaACE2.787,7192.85107,1785.98877,5.00E-07
RsYN04,RaACE2.787,7806.74121,24.24388,NA
RsYN04,RaACE2.9479,7561.61475,18.52213,0
RsYN04,RaACE2.9479,7741.54736,18.53984,4.96E-14
RsYN04,RaACE2.9479,7672.62988,16.9845,2.98E-13
RsYN04,RaACE2.9479,7391.72998,16.81982,1.79E-12
RsYN04,RaACE2.9479,7542.14404,17.14956,1.07E-11
RsYN04,RaACE2.9479,7586.21436,17.58507,6.43E-11
RsYN04,RaACE2.9479,7502.67822,17.67171,3.86E-10
RsYN04,RaACE2.9479,7563.75293,22.38712,2.31E-09
RsYN04,RaACE2.9479,7647.55957,29.52077,1.39E-08
RsYN04,RaACE2.9479,7591.83984,43.51185,8.33E-08
RsYN04,RaACE2.9479,7456.37061,99.69685,5.00E-07
RsYN04,RaACE2.9479,7531.92773,18.13543,NA
RsYN04,RsACE2.3364,7473.82471,17.37558,0
RsYN04,RsACE2.3364,7477.50781,17.64422,4.96E-14
RsYN04,RsACE2.3364,7658.87842,18.03593,2.98E-13
RsYN04,RsACE2.3364,7481.59473,17.75523,1.79E-12
RsYN04,RsACE2.3364,7760.38184,16.87975,1.07E-11
RsYN04,RsACE2.3364,7618.854,18.95295,6.43E-11
RsYN04,RsACE2.3364,7595.59814,18.12156,3.86E-10
RsYN04,RsACE2.3364,7493.15918,21.882,2.31E-09
RsYN04,RsACE2.3364,7511.4292,33.49938,1.39E-08
RsYN04,RsACE2.3364,7618.76367,40.74161,8.33E-08
RsYN04,RsACE2.3364,7559.96387,44.58736,5.00E-07
RsYN04,RsACE2.3364,7704.28467,20.0439,NA
RsYN04,RsACE2.1434,7678.17871,18.51884,0
RsYN04,RsACE2.1434,7754.13721,18.31194,4.96E-14
RsYN04,RsACE2.1434,7771.69287,19.04069,2.98E-13
RsYN04,RsACE2.1434,7804.96631,17.69263,1.79E-12
RsYN04,RsACE2.1434,7822.23779,20.11159,1.07E-11
RsYN04,RsACE2.1434,7863.36084,19.0385,6.43E-11
RsYN04,RsACE2.1434,7727.42725,20.24502,3.86E-10
RsYN04,RsACE2.1434,7661.46484,25.64124,2.31E-09
RsYN04,RsACE2.1434,7701.59668,31.70324,1.39E-08
RsYN04,RsACE2.1434,7692.61572,31.90268,8.33E-08
RsYN04,RsACE2.1434,7528.34375,50.81187,5.00E-07
RsYN04,RsACE2.1434,7713.94531,19.02009,NA
RsYN04+T498W,huACE2,8394.58301,45.13492,0
RsYN04+T498W,huACE2,8406.38672,43.59229,4.96E-14
RsYN04+T498W,huACE2,8301.2168,44.72605,2.98E-13
RsYN04+T498W,huACE2,8201.125,42.80541,1.79E-12
RsYN04+T498W,huACE2,8428.62012,44.46779,1.07E-11
RsYN04+T498W,huACE2,8432.17383,44.20821,6.43E-11
RsYN04+T498W,huACE2,8529.66211,44.7589,3.86E-10
RsYN04+T498W,huACE2,8291.15918,63.25127,2.31E-09
RsYN04+T498W,huACE2,8480.93066,309.63971,1.39E-08
RsYN04+T498W,huACE2,8325.90723,936.7038,8.33E-08
RsYN04+T498W,huACE2,8211.27148,1201.76611,5.00E-07
RsYN04+T498W,huACE2,8085.00391,42.46909,NA
RsYN04+T498W,pgACE2,8166.89795,18.16582,0
RsYN04+T498W,pgACE2,7969.49805,17.11689,4.96E-14
RsYN04+T498W,pgACE2,8528.92871,18.04502,2.98E-13
RsYN04+T498W,pgACE2,8356.91602,19.26797,1.79E-12
RsYN04+T498W,pgACE2,8604.94531,19.5638,1.07E-11
RsYN04+T498W,pgACE2,8485.7207,19.50293,6.43E-11
RsYN04+T498W,pgACE2,8397.56934,20.83003,3.86E-10
RsYN04+T498W,pgACE2,8366.20801,26.99813,2.31E-09
RsYN04+T498W,pgACE2,8376.2666,33.66538,1.39E-08
RsYN04+T498W,pgACE2,8143.26367,36.62727,8.33E-08
RsYN04+T498W,pgACE2,8193.02441,85.50741,5.00E-07
RsYN04+T498W,pgACE2,8588.47656,19.05659,NA
RsYN04+T498W,RaACE2.787,8221.69531,17.26269,0
RsYN04+T498W,RaACE2.787,8198.37793,20.21517,4.96E-14
RsYN04+T498W,RaACE2.787,8182.68115,21.07878,2.98E-13
RsYN04+T498W,RaACE2.787,8255.58203,22.8399,1.79E-12
RsYN04+T498W,RaACE2.787,8138.02881,30.26523,1.07E-11
RsYN04+T498W,RaACE2.787,8233.53809,67.97768,6.43E-11
RsYN04+T498W,RaACE2.787,8276.43555,294.31128,3.86E-10
RsYN04+T498W,RaACE2.787,8168.49512,1414.78772,2.31E-09
RsYN04+T498W,RaACE2.787,7873.12939,5292.92188,1.39E-08
RsYN04+T498W,RaACE2.787,7030.93799,12429.6709,8.33E-08
RsYN04+T498W,RaACE2.787,6592.99854,14952.01367,5.00E-07
RsYN04+T498W,RaACE2.787,8308.76855,24.73304,NA
RsYN04+T498W,RaACE2.9479,8175.78467,18.52722,0
RsYN04+T498W,RaACE2.9479,8061.33643,20.34263,4.96E-14
RsYN04+T498W,RaACE2.9479,7952.06396,22.83372,2.98E-13
RsYN04+T498W,RaACE2.9479,8041.24268,24.37222,1.79E-12
RsYN04+T498W,RaACE2.9479,8238.94824,37.10985,1.07E-11
RsYN04+T498W,RaACE2.9479,8187.25391,76.77829,6.43E-11
