"protein","genotype","EC50","EC50_SE","hill","hill_SE"
"huACE2","BtKY72",1000,44150.2877353367,0.2,0.459134359175181
"pgACE2","BtKY72",1000,4225.71989200218,0.507883735527678,0.223813579906926
"RaACE2.787","BtKY72",9.21357571405354,1.10520964431968,0.668033181290328,0.0411346424140797
"RaACE2.9479","BtKY72",0.569847026398575,0.063388207548672,0.511661590270794,0.0262149228723586
"RsACE2.3364","BtKY72",1000,7108.2623957069,0.584900297936498,0.473955596198146
"RsACE2.1434","BtKY72",1000,10717.1431758043,0.425920136863305,0.422073581174977
"huACE2","SARS-CoV-2",0.241604253630968,0.0380711227290917,0.564424386010537,0.0458562663429405
"huACE2","PRD-0038",1000,42465.5426947231,0.2,0.44161436303283
"pgACE2","PRD-0038",1000,6185.12060004585,0.45421209872528,0.271633279536538
"RaACE2.787","PRD-0038",7.601626986765,0.742528563106229,0.627631260469301,0.0295801445040366
"RaACE2.9479","PRD-0038",0.52127773847693,0.0664750448820588,0.495084480159362,0.0282126301513025
"RsACE2.3364","PRD-0038",1000,3599.68016090069,0.421926011542692,0.139515380017259
"RsACE2.1434","PRD-0038",1000,1704688.49671358,2.11089265591775,344.969635266566
"huACE2","PDF-2370",1000,42264.3663461257,0.2,0.439522489328086
"pgACE2","PDF-2370",1000,2174.65716745823,0.597752452732568,0.15008645168608
"RaACE2.787","PDF-2370",1000,3919.86428572793,0.592161159543961,0.266540001882467
"RaACE2.9479","PDF-2370",17.3674263946591,2.20606226841617,0.614836942154994,0.0325069230804261
"RsACE2.3364","PDF-2370",1000,4586.90039184953,0.706080441384731,0.407397989279018
"RsACE2.1434","PDF-2370",962.191018913491,4967.28231607292,0.546808055633444,0.313164752300753
"huACE2","PRD-0038+K493Y+T498W",2.71717351949889,0.0462379402070802,1.12434269347078,0.0198114739152973
"pgACE2","PRD-0038+K493Y+T498W",1000,9031.20670669026,0.505829351773865,0.475122704335036
"RaACE2.787","PRD-0038+K493Y+T498W",18.3792356798949,1.55807354097973,0.785859921943558,0.0394316154846414
"RaACE2.9479","PRD-0038+K493Y+T498W",3.82253913457587,0.467041368456839,0.570428102692648,0.0319636187578713
"RsACE2.3364","PRD-0038+K493Y+T498W",1000,22439.439770499,0.2,0.233355749295098
"RsACE2.1434","PRD-0038+K493Y+T498W",1000,4486.882913324,0.460911888129303,0.201983816190909
