Node	State	ProbSum	Father	StateFather	ProbSumFather
S27	1	2.568	N3	1	0.9384
S28	1	1	N3	1	0.9384
N3	1	0.9384	N2	1	0.9605
S24	1	2	N6	1	2
S25	1	2	N7	1	2
S26	1	2	N7	1	2
N7	1	2	N6	1	2
N6	1	2	N5	1	1.997
S22	1	2	N8	1	2
S23	1	2	N10	1	2
S11	1	2	N14	1	2
S5	1	2	N15	1	2
S9	1	2	N16	1	2
S10	1	2	N16	1	2
N16	1	2	N15	1	2
N15	1	2	N14	1	2
N14	1	2	N13	1	2
S6	1	2	N13	1	2
N13	1	2	N12	1	2
S8	1	2	N17	1	2
S7	1	2	N17	1	2
N17	1	2	N12	1	2
N12	1	2	N11	1	2
S12	1	2	N18	1	2
S17	1	2	N23	1	2
S19	1	2	N23	1	2
N23	1	2	N22	1	2
S18	1	2	N22	1	2
N22	1	2	N21	1	2
S15	1	2	N24	1	2
S16	1	2	N24	1	2
N24	1	2	N21	1	2
N21	1	2	N20	1	2
S14	1	2	N20	1	2
N20	1	2	N19	1	2
S13	1	2	N19	1	2
N19	1	2	N18	1	2
N18	1	2	N11	1	2
N11	1	2	N10	1	2
N10	1	2	N9	1	2
S20	1	2	N25	1	2
S21	1	2	N25	1	2
N25	1	2	N9	1	2
N9	1	2	N8	1	2
N8	1	2	N5	1	1.997
N5	1	1.997	N4	1	1.286
S36	1	4.117	N29	1	4.161
S30	1	4.101	N31	1	4.111
S29	1	4.101	N31	1	4.111
N31	1	4.111	N30	1	4.146
S32	1	4.113	N33	1	4.113
S31	1	4.097	N34	1	4.112
S34	1	4.107	N34	1	4.112
N34	1	4.112	N33	1	4.113
N33	1	4.113	N32	1	4.114
S33	1	4.113	N32	1	4.114
N32	1	4.114	N30	1	4.146
N30	1	4.146	N29	1	4.161
N29	1	4.161	N28	1	4.166
S37	1	4.079	N35	1	4.155
S35	1	4.111	N35	1	4.155
N35	1	4.155	N28	1	4.166
N28	1	4.166	N27	1	3.627
S41	1	4.207	N38	1	4.233
S43	1	4.181	N40	1	4.214
S42	1	4.188	N40	1	4.214
N40	1	4.214	N39	1	4.224
S38	1	4.188	N41	1	4.202
S44	1	4.133	N42	1	4.198
S39	1	4.192	N43	1	4.193
S40	1	4.188	N43	1	4.193
N43	1	4.193	N42	1	4.198
N42	1	4.198	N41	1	4.202
N41	1	4.202	N39	1	4.224
N39	1	4.224	N38	1	4.233
N38	1	4.233	N37	1	3.646
S45	1	3.252	N44	1	3.264
S48	1	3.252	N45	1	3.252
S50	1	3.252	N47	1	3.252
S47	1	3.252	N48	1	3.252
S46	1	3.252	N48	1	3.252
N48	1	3.252	N47	1	3.252
N47	1	3.252	N46	1	3.252
S49	1	3.252	N46	1	3.252
N46	1	3.252	N45	1	3.252
N45	1	3.252	N44	1	3.264
N44	1	3.264	N37	1	3.646
N37	1	3.646	N36	1	3.642
S51	1	3.251	N36	1	3.642
N36	1	3.642	N27	1	3.627
N27	1	3.627	N26	1	1.259
S4	1	1	N49	1	1.01
S2	1	1	N50	1	1
S3	1	1	N51	1	1
S1	1	1	N51	1	1
N51	1	1	N50	1	1
N50	1	1	N49	1	1.01
N49	1	1.01	N26	1	1.259
N26	1	1.259	N4	1	1.286
N4	1	1.286	N2	1	0.9605
N2	1	0.9605	N1	1	0.6629
S52	1	2.133	N1	1	0.6629
N1	1	0.6629	NoFather2Root	NA	NA
