

This is RAxML version 8.2.12 released by Alexandros Stamatakis on May 2018.

With greatly appreciated code contributions by:
Andre Aberer      (HITS)
Simon Berger      (HITS)
Alexey Kozlov     (HITS)
Kassian Kobert    (HITS)
David Dao         (KIT and HITS)
Sarah Lutteropp   (KIT and HITS)
Nick Pattengale   (Sandia)
Wayne Pfeiffer    (SDSC)
Akifumi S. Tanabe (NRIFS)
Charlie Taylor    (UF)


Alignment has 414 distinct alignment patterns

Proportion of gaps and completely undetermined characters in this alignment: 4.87%

RAxML rapid bootstrapping and subsequent ML search

Using 3 distinct models/data partitions with joint branch length optimization



Executing 1000 rapid bootstrap inferences and thereafter a thorough ML search 

All free model parameters will be estimated by RAxML
GAMMA model of rate heterogeneity, ML estimate of alpha-parameter

GAMMA Model parameters will be estimated up to an accuracy of 0.1000000000 Log Likelihood units

Partition: 0
Alignment Patterns: 115
Name: codon1
DataType: DNA
Substitution Matrix: GTR



Partition: 1
Alignment Patterns: 97
Name: codon2
DataType: DNA
Substitution Matrix: GTR



Partition: 2
Alignment Patterns: 202
Name: codon3
DataType: DNA
Substitution Matrix: GTR




RAxML was called as follows:

raxmlHPC-PTHREADS -s ../RBD_nt-codon_aligned.fasta -n RBD_codon_tree.txt -m GTRGAMMA -f a -p 10 -N autoMRE -x 10 -T 8 -q ../codon_partitions.txt 



Time for BS model parameter optimization 0.223424
Bootstrap[0]: Time 0.835487 seconds, bootstrap likelihood -8197.371670, best rearrangement setting 5
Bootstrap[1]: Time 0.600366 seconds, bootstrap likelihood -7960.270456, best rearrangement setting 14
Bootstrap[2]: Time 0.581983 seconds, bootstrap likelihood -8017.984029, best rearrangement setting 14
Bootstrap[3]: Time 0.519495 seconds, bootstrap likelihood -8270.188076, best rearrangement setting 9
Bootstrap[4]: Time 0.544293 seconds, bootstrap likelihood -7946.343947, best rearrangement setting 12
Bootstrap[5]: Time 0.467409 seconds, bootstrap likelihood -8053.844261, best rearrangement setting 10
Bootstrap[6]: Time 0.528046 seconds, bootstrap likelihood -8427.365652, best rearrangement setting 8
Bootstrap[7]: Time 0.455536 seconds, bootstrap likelihood -8244.776715, best rearrangement setting 6
Bootstrap[8]: Time 0.523578 seconds, bootstrap likelihood -7848.833283, best rearrangement setting 5
Bootstrap[9]: Time 0.556082 seconds, bootstrap likelihood -7863.420545, best rearrangement setting 11
Bootstrap[10]: Time 0.471221 seconds, bootstrap likelihood -7834.988152, best rearrangement setting 10
Bootstrap[11]: Time 0.513704 seconds, bootstrap likelihood -8367.596214, best rearrangement setting 14
Bootstrap[12]: Time 0.564301 seconds, bootstrap likelihood -7955.906489, best rearrangement setting 13
Bootstrap[13]: Time 0.526912 seconds, bootstrap likelihood -7993.494196, best rearrangement setting 10
Bootstrap[14]: Time 0.430181 seconds, bootstrap likelihood -8467.124554, best rearrangement setting 8
Bootstrap[15]: Time 0.463674 seconds, bootstrap likelihood -8432.229769, best rearrangement setting 12
Bootstrap[16]: Time 0.462917 seconds, bootstrap likelihood -8057.896882, best rearrangement setting 10
Bootstrap[17]: Time 0.516564 seconds, bootstrap likelihood -8206.161003, best rearrangement setting 6
Bootstrap[18]: Time 0.547990 seconds, bootstrap likelihood -8229.087932, best rearrangement setting 15
Bootstrap[19]: Time 0.542143 seconds, bootstrap likelihood -8273.364909, best rearrangement setting 14
Bootstrap[20]: Time 0.537621 seconds, bootstrap likelihood -8326.107308, best rearrangement setting 15
Bootstrap[21]: Time 0.461862 seconds, bootstrap likelihood -8096.135203, best rearrangement setting 11
Bootstrap[22]: Time 0.510286 seconds, bootstrap likelihood -8126.772309, best rearrangement setting 12
Bootstrap[23]: Time 0.601823 seconds, bootstrap likelihood -8011.315890, best rearrangement setting 12
Bootstrap[24]: Time 0.493428 seconds, bootstrap likelihood -8298.584557, best rearrangement setting 6
Bootstrap[25]: Time 0.556704 seconds, bootstrap likelihood -8382.953116, best rearrangement setting 9
Bootstrap[26]: Time 0.573155 seconds, bootstrap likelihood -7957.909924, best rearrangement setting 15
Bootstrap[27]: Time 0.448692 seconds, bootstrap likelihood -8577.647925, best rearrangement setting 12
Bootstrap[28]: Time 0.497862 seconds, bootstrap likelihood -7961.933436, best rearrangement setting 6
Bootstrap[29]: Time 0.542560 seconds, bootstrap likelihood -8122.753009, best rearrangement setting 6
Bootstrap[30]: Time 0.548319 seconds, bootstrap likelihood -8146.411572, best rearrangement setting 14
Bootstrap[31]: Time 0.519693 seconds, bootstrap likelihood -8288.768331, best rearrangement setting 11
Bootstrap[32]: Time 0.558353 seconds, bootstrap likelihood -7917.199509, best rearrangement setting 11
Bootstrap[33]: Time 0.460602 seconds, bootstrap likelihood -8276.495271, best rearrangement setting 5
Bootstrap[34]: Time 0.495979 seconds, bootstrap likelihood -8143.284659, best rearrangement setting 15
Bootstrap[35]: Time 0.481163 seconds, bootstrap likelihood -8095.573615, best rearrangement setting 7
Bootstrap[36]: Time 0.538115 seconds, bootstrap likelihood -8124.273452, best rearrangement setting 11
Bootstrap[37]: Time 0.495762 seconds, bootstrap likelihood -7982.221467, best rearrangement setting 7
Bootstrap[38]: Time 0.531004 seconds, bootstrap likelihood -7949.314534, best rearrangement setting 15
Bootstrap[39]: Time 0.527102 seconds, bootstrap likelihood -7997.791981, best rearrangement setting 10
Bootstrap[40]: Time 0.490847 seconds, bootstrap likelihood -8271.946154, best rearrangement setting 8
Bootstrap[41]: Time 0.460043 seconds, bootstrap likelihood -7897.550460, best rearrangement setting 14
Bootstrap[42]: Time 0.529809 seconds, bootstrap likelihood -8464.364789, best rearrangement setting 11
Bootstrap[43]: Time 0.498141 seconds, bootstrap likelihood -8077.719914, best rearrangement setting 11
Bootstrap[44]: Time 0.541018 seconds, bootstrap likelihood -8303.551360, best rearrangement setting 5
Bootstrap[45]: Time 0.499133 seconds, bootstrap likelihood -8015.586291, best rearrangement setting 15
Bootstrap[46]: Time 0.502874 seconds, bootstrap likelihood -8325.054776, best rearrangement setting 15
Bootstrap[47]: Time 0.582791 seconds, bootstrap likelihood -8382.192214, best rearrangement setting 9
Bootstrap[48]: Time 0.456840 seconds, bootstrap likelihood -8231.143115, best rearrangement setting 15
Bootstrap[49]: Time 0.503758 seconds, bootstrap likelihood -8249.784453, best rearrangement setting 10
Bootstrap[50]: Time 0.626657 seconds, bootstrap likelihood -8133.146353, best rearrangement setting 15
Bootstrap[51]: Time 0.507098 seconds, bootstrap likelihood -7942.909556, best rearrangement setting 11
Bootstrap[52]: Time 0.442182 seconds, bootstrap likelihood -7988.895969, best rearrangement setting 10
Bootstrap[53]: Time 0.559147 seconds, bootstrap likelihood -8274.356660, best rearrangement setting 13
Bootstrap[54]: Time 0.588416 seconds, bootstrap likelihood -7968.430069, best rearrangement setting 15
Bootstrap[55]: Time 0.423231 seconds, bootstrap likelihood -8223.570301, best rearrangement setting 6
