Node	State	ProbSum	Father	StateFather	ProbSumFather
S27	1	2.583	N3	1	0.9165
S28	1	1	N3	1	0.9165
N3	1	0.9165	N2	1	0.9286
S35	1	4.134	N7	1	4.173
S37	1	4.106	N7	1	4.173
N7	1	4.173	N6	1	4.182
S36	1	4.139	N8	1	4.177
S33	1	4.135	N10	1	4.137
S31	1	4.122	N12	1	4.135
S34	1	4.131	N12	1	4.135
N12	1	4.135	N11	1	4.136
S32	1	4.136	N11	1	4.136
N11	1	4.136	N10	1	4.137
N10	1	4.137	N9	1	4.165
S29	1	4.125	N13	1	4.134
S30	1	4.125	N13	1	4.134
N13	1	4.134	N9	1	4.165
N9	1	4.165	N8	1	4.177
N8	1	4.177	N6	1	4.182
N6	1	4.182	N5	1	3.581
S51	1	3.262	N14	1	3.596
S45	1	3.263	N16	1	3.272
S48	1	3.263	N17	1	3.263
S49	1	3.263	N18	1	3.263
S50	1	3.264	N19	1	3.263
S46	1	3.264	N20	1	3.264
S47	1	3.264	N20	1	3.264
N20	1	3.264	N19	1	3.263
N19	1	3.263	N18	1	3.263
N18	1	3.263	N17	1	3.263
N17	1	3.263	N16	1	3.272
N16	1	3.272	N15	1	3.601
S38	1	4.207	N23	1	4.219
S39	1	4.21	N25	1	4.211
S40	1	4.207	N25	1	4.211
N25	1	4.211	N24	1	4.216
S44	1	4.159	N24	1	4.216
N24	1	4.216	N23	1	4.219
N23	1	4.219	N22	1	4.238
S42	1	4.208	N26	1	4.229
S43	1	4.201	N26	1	4.229
N26	1	4.229	N22	1	4.238
N22	1	4.238	N21	1	4.246
S41	1	4.223	N21	1	4.246
N21	1	4.246	N15	1	3.601
N15	1	3.601	N14	1	3.596
N14	1	3.596	N5	1	3.581
N5	1	3.581	N4	1	1.262
S24	1	2	N29	1	2
S25	1	2	N30	1	2
S26	1	2	N30	1	2
N30	1	2	N29	1	2
N29	1	2	N28	1	1.997
S22	1	2	N31	1	2
S6	1	2	N36	1	2
S11	1	2	N39	1	2
S10	1	2	N39	1	2
N39	1	2	N38	1	2
S5	1	2	N38	1	2
N38	1	2	N37	1	2
S9	1	2	N37	1	2
N37	1	2	N36	1	2
N36	1	2	N35	1	2
S8	1	2	N40	1	2
S7	1	2	N40	1	2
N40	1	2	N35	1	2
N35	1	2	N34	1	2
S17	1	2	N45	1	2
S19	1	2	N45	1	2
N45	1	2	N44	1	2
S18	1	2	N44	1	2
N44	1	2	N43	1	2
S15	1	2	N46	1	2
S16	1	2	N46	1	2
N46	1	2	N43	1	2
N43	1	2	N42	1	2
S13	1	2	N47	1	2
S14	1	2	N47	1	2
N47	1	2	N42	1	2
N42	1	2	N41	1	2
S12	1	2	N41	1	2
N41	1	2	N34	1	2
N34	1	2	N33	1	2
S23	1	2	N33	1	2
N33	1	2	N32	1	2
S20	1	2	N48	1	2
S21	1	2	N48	1	2
N48	1	2	N32	1	2
N32	1	2	N31	1	2
N31	1	2	N28	1	1.997
N28	1	1.997	N27	1	1.246
S4	1	1	N49	1	1.008
S2	1	1	N50	1	1
S3	1	1	N51	1	1
S1	1	1	N51	1	1
N51	1	1	N50	1	1
N50	1	1	N49	1	1.008
N49	1	1.008	N27	1	1.246
N27	1	1.246	N4	1	1.262
N4	1	1.262	N2	1	0.9286
N2	1	0.9286	N1	1	0.758
S52	1	2.15	N1	1	0.758
N1	1	0.758	NoFather2Root	NA	NA
